STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,VAR,Variable,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,BEL,Belgium,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVK,Slovak Republic,ELV_NOX,Emission limit value NOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,FRA,France,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,JPN,Japan,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SWE,Sweden,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,JPN,Japan,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DNK,Denmark,ELV_SOX,Emission limit value SOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GRC,Greece,ELV_NOX,Emission limit value NOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DNK,Denmark,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NLD,Netherlands,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CHE,Switzerland,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,FIN,Finland,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,IRL,Ireland,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,HUN,Hungary,RD_SUB,Low-carbon R&D expenditures,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,IRL,Ireland,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NZL,New Zealand,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,FRA,France,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CHE,Switzerland,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,USA,United States,TAXDIESEL,Diesel tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUS,Australia,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NZL,New Zealand,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,TUR,Türkiye,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ITA,Italy,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVK,Slovak Republic,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUS,Australia,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NLD,Netherlands,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUT,Austria,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,POL,Poland,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DNK,Denmark,TAXDIESEL,Diesel tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,JPN,Japan,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CZE,Czechia,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DNK,Denmark,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,KOR,Korea,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GBR,United Kingdom,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SWE,Sweden,ELV_NOX,Emission limit value NOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CZE,Czechia,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,PRT,Portugal,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GRC,Greece,ELV_SOX,Emission limit value SOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DEU,Germany,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GBR,United Kingdom,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUS,Australia,EPS_MKT,Market based policies,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,LUX,Luxembourg,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVK,Slovak Republic,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,BEL,Belgium,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,USA,United States,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GRC,Greece,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,LUX,Luxembourg,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVK,Slovak Republic,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NOR,Norway,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NOR,Norway,ELV_NOX,Emission limit value NOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ITA,Italy,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CAN,Canada,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CHE,Switzerland,EPS_MKT,Market based policies,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SWE,Sweden,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUT,Austria,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,TUR,Türkiye,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CZE,Czechia,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CZE,Czechia,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,PRT,Portugal,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CAN,Canada,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,KOR,Korea,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,POL,Poland,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,KOR,Korea,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GBR,United Kingdom,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,EST,Estonia,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NZL,New Zealand,ELV_SOX,Emission limit value SOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DEU,Germany,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NLD,Netherlands,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,BEL,Belgium,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUS,Australia,TAXDIESEL,Diesel tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,LUX,Luxembourg,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GRC,Greece,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GRC,Greece,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,TUR,Türkiye,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,HUN,Hungary,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NOR,Norway,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUS,Australia,ELV_SOX,Emission limit value SOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVK,Slovak Republic,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,LUX,Luxembourg,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,POL,Poland,RD_SUB,Low-carbon R&D expenditures,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CHE,Switzerland,TAXDIESEL,Diesel tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,JPN,Japan,ELV_SOX,Emission limit value SOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CAN,Canada,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVK,Slovak Republic,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,KOR,Korea,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,TUR,Türkiye,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUT,Austria,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ESP,Spain,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CAN,Canada,ELV_DIESELSO,Emission limit value sulphur,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVK,Slovak Republic,ELV_SOX,Emission limit value SOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,PRT,Portugal,ELV_NOX,Emission limit value NOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,IRL,Ireland,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NLD,Netherlands,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DNK,Denmark,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,EST,Estonia,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SWE,Sweden,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUT,Austria,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SWE,Sweden,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NZL,New Zealand,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DEU,Germany,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,FIN,Finland,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NOR,Norway,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUS,Australia,ELV_PM,Emission limit value PM,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,TUR,Türkiye,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUS,Australia,TAXNOX,Nitrogen Oxides (NOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,HUN,Hungary,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ITA,Italy,TRADESCH_CO2,CO2 Trading Scheme,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,TUR,Türkiye,ELV_DIESELSO,Emission limit value sulphur,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NOR,Norway,FIT_SOLAR,Solar Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ITA,Italy,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUT,Austria,TAXSOX,Sulphur Oxides (SOx) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DEU,Germany,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CAN,Canada,ELV_NOX,Emission limit value NOx,1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ESP,Spain,FIT_WIND,Wind Energy support (Auctions & FITs),1990,,0,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,PRT,Portugal,TAXCO2,Carbon dioxides (CO2) Tax,1990,,0,,A,,,,0,Units,,
