Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
GHG data for some source categories are not directly comparable between 2010 and subsequent years. 12 new source categories began reporting for 2011.,,,,,,,,,,,,
Search Parameters: year=2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2023,Ackerman Combined Cycle,1000125,2510 PENSACOLA ROAD,33.38,-89.2091,ACKERMAN,Choctaw,MS,39735,US GOVERNMENT (%),927459,"C,D"
2023,"Advanced Tri-Gen Power Systems, LLC",1006553,1823 East Boy Scout Road,40.843067,-89.564148,Chillicothe,PEORIA COUNTY,IL,61523,CATERPILLAR INC (100%),96957,C
2023,Afton Generating Station,1006556,10100 WEST AFTON ROAD,32.1134,-106.848,LA MESA,Dona Ana,NM,88044,PNM RESOURCES INC (100%),575637,"C,D"
2023,Agua Fria Generating Station,1007206,7302 W NORTHERN AVE,33.5542,-112.2161,GLENDALE,Maricopa,AZ,85303,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT (100%),97741,"C,D"
2023,Agua Mansa Power,1000423,2040 AGUA MANSA ROAD,34.0414,-117.3603,COLTON,San Bernardino,CA,92324,CITY OF COLTON CALIFORNIA (100%),6120,D
2023,"Alaska Village Electric Cooperative, Inc.",1010937,4831 Eagle Street,61.17697,-149.87559,Anchorage,ANCHORAGE MUNICIPALITY,AK,99503,ALASKA VILLAGE ELECTRIC COOPERATIVE (100%),31213,C
2023,Albany Green Energy,1012844,508 Liberty Expressway SE,31.443122,-84.118617,Albany,DOUGHERTY COUNTY,GA,31705,ALBANY GREEN ENERGY LLC (100%),11245,D
2023,Alex Ty Cooke Generating Station,1000955,3500 E SLATON HWY,33.5211,-101.7906,LUBBOCK,Lubbock,TX,79404,CITY OF LUBBOCK TEXAS TEXAS (100%),3524,"C,D"
2023,"Algonquin Power Sanger, LLC",1005044,1125 Muscat Avenue,36.685049,-119.55225,Sanger,FRESNO COUNTY,CA,93657,ALGONQUIN POWER SANGER LLC (100%),8237,"C,D"
2023,"Algonquin Power Windsor Locks, LLC",1006409,26 CANAL BANK RD,41.9227,-72.6255,WINDSOR LOCKS,Hartford,CT,6096,ALGONQUIN POWER WINDSOR LOCKS LLC (100%),87638,"C,D"
2023,Allegany Generating Station,1001217,11537 ROUTE 19A,42.5083,-78.0661,Portageville,Allegany,NY,14536,ALLIANCE ENERGY GROUP LLC (100%),5778,"C,D"
2023,Allen,1000916,2574 PLANT RD,35.0742,-90.1439,MEMPHIS,Shelby,TN,38109,US GOVERNMENT (%),1939893,"C,D"
2023,Allen S King,1000691,1103 KING PLANT RD,45.03,-92.7786,OAK PARK HEIGHTS,Washington,MN,55003,XCEL ENERGY INC (100%),998891,"C,D"
2023,Almond Power Plant,1007315,4500 CROWS LANDING ROAD,37.5739,-120.9854,MODESTO,Stanislaus,CA,95358,TURLOCK IRRIGATION DISTRICT EMPLOYEES ASSOC (100%),106078,D
2023,Alpaca Energy LLC,1013070,220 Romaine Ln.,41.663988,-76.808492,Canton,BRADFORD COUNTY,PA,17724,ALPACA ENERGY LLC (100%),25541,C
2023,Alpine Power Plant,1012152,7432 M-32,45.063748,-84.825348,Elmira,OTSEGO COUNTY,MI,49730,WOLVERINE POWER SUPPLY COOPERATIVE INC (100%),481753,"C,D"
2023,Alsey Station,1000417,331 Campbell Road,39.5697,-90.4362,ALSEY,Scott,IL,62694,PRAIRIE POWER INC (100%),11569,"C,D"
2023,Ames,1005802,200 E 5TH ST,42.0247,-93.6069,AMES,Story,IA,50010,CITY OF AMES IOWA (100%),236925,D
2023,Anadarko,1000865,701 B NE 7TH ST,35.0847,-98.23,ANADARKO,Caddo,OK,73005,WESTERN FARMERS ELECTRIC COOPERATIVE (100%),527567,"C,D"
2023,Anclote Power Plant,1007246,1729 BAILLIES BLUFF ROAD,28.1844,-82.7887,HOLIDAY,Pasco,FL,34691,DUKE ENERGY CORP (100%),1149387,"C,D"
2023,Angus Anson,1001097,7100 EAST RICE ST,43.6033,-96.6369,SIOUX FALLS,Minnehaha,SD,57101,XCEL ENERGY INC (100%),161253,"C,D"
2023,Antelope Station,1006652,1454 CR 315,33.866995,-101.866362,ABERNATHY,HALE COUNTY,TX,79311,GOLDEN SPREAD ELECTRIC COOPERATIVE INC (100%),125720,C
2023,Antelope Valley,1001055,HWY 200,47.3714,-101.8344,BEULAH,Mercer,ND,58523,BASIN ELECTRIC POWER COOPERATIVE (100%),5389116,D
2023,Apache Station,1005949,3525 N US HWY 191,32.0619,-109.8931,COCHISE,Cochise,AZ,85606,ARIZONA ELECTRIC POWER COOPERATIVE INC (100%),1458091,"C,D"
2023,Apex Generating Station,1000068,15555 APEX POWER PARKWAY,36.4178,-114.9622,LAS VEGAS,Clark,NV,89165,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY (100%),865094,"C,D"
2023,Arapahoe Combustion Turbine Facility,1001360,2601 SOUTH PLATTE RIVER ROAD,39.6692,-105.0018,DENVER,Denver,CO,80223,SOUTHWEST GENERATION OPERATING CO LLC (100%),107556,"C,D"
2023,Arlington Valley Energy Facility,1001399,39027 W ELLIOT ROAD,33.3417,-112.8897,ARLINGTON,Maricopa,AZ,85322,ARLINGTON VALLEY LLC (100%),1386239,"C,D"
2023,"Armstrong Power, LLC",1005709,2313 STATE ROUTE 156,40.6383,-79.3503,SHELOCTA,Armstrong,PA,15774,"LS Power Development, LLC (100%)",627235,D
2023,Arsenal Hill Power Plant,1001609,520 NORTH ALLEN,32.5181,-93.7611,SHREVEPORT,Caddo,LA,71101,AMERICAN ELECTRIC POWER CO INC (100%),1438673,D
2023,Arthur Kill,1000759,4401 VICTORY BLVD,40.5915,-74.2027,Staten Island,Richmond,NY,10314,ARCLIGHT ENERGY PARTNERS FUND VII LP (100%),635388,"C,D"
2023,Arvah B Hopkins,1007189,1125 GEDDIE ROAD,30.4522,-84.4,TALLAHASSEE,Leon,FL,32304,CITY OF TALLAHASSEE FLORIDA (100%),703691,"C,D"
2023,Asheville Steam Electric Plant,1007180,200 CP&L DRIVE,35.4714,-82.5431,ARDEN,Buncombe,NC,28704,DUKE ENERGY CORP (100%),1455027,"C,D"
2023,Astoria Gas Turbine Power,1000132,31 01 20TH AVE,40.7864,-73.9133,ASTORIA,Queens,NY,11105,NRG ENERGY INC (100%),3837,D
2023,Astoria Generating Station,1007053,18-01 20TH AVE,40.7869,-73.9122,ASTORIA,Queens,NY,11105,ARCLIGHT ENERGY PARTNERS FUND VI LP (100%),489209,"C,D"
2023,Astoria Station,1014070,19333 482 Ave,44.580121408708,-96.5614106003509,Astoria,,SD,57213,OTTER TAIL CORP (100%),227933,"C,D"
2023,Athens Generating Company,1000101,9300 U S HIGHWAY 9W,42.2728,-73.8492,ATHENS,Greene,NY,12015,NEW ATHENS GENERATING CO LLC (100%),705858,D
2023,Attala Generating Plant,1007247,2500 ATTALA ROAD 4130,33.0142,-89.6758,SALLIS,Attala,MS,39160,ENTERGY CORP (100%),1118035,"C,D"
2023,Audrain Power Plant,1001379,40897 HIGHWAY P,39.3092,-91.5369,VANDALIA,Audrain,MO,63382,AMEREN CORP (100%),127954,D
2023,Aurora Generating Station,1001397,2909 NORTH EOLA ROAD,41.8151,-88.2265,AURORA,Dupage,IL,60504,"LS Power Development, LLC (100%)",218334,"C,D"
2023,BADGER CREEK LIMITED,1002728,34759 LENCIONI AVE,35.44735,-119.08652,BAKERSFIELD,KERN COUNTY,CA,93308,BADGER CREEK LTD (100%),12078,D
2023,BARROW UTILITIES & ELECTRIC,1005395,1295 AGVIK STREET,71.292071,-156.77847,BARROW,NORTH SLOPE BOROUGH,AK,99723,BARROW UTILITIES & ELECTRIC COOPERATIVE INC (100%),62013,C
2023,BEACON HEATING,1006384,541 MADISON STREET,42.33811,-83.04382,DETROIT,WAYNE COUNTY,MI,48226,DETROIT THERMAL LLC (100%),135765,C
2023,BEAR MOUNTAIN LIMITED,1006139,34759 LENCIONI AVE,35.44735,-119.08652,BAKERSFIELD,KERN COUNTY,CA,93308,BEAR MOUNTAIN LTD (100%),21205,D
2023,BELLEFIELD BOILER PLANT,1005525,,40.442121,-79.949221,PITTSBURGH,ALLEGHENY COUNTY,PA,15213,BELLEFIELD BOILER PLANT (100%),48730,C
2023,BERNICE LAKE,1005268,55244 CHEVRON REFINERY ROAD,60.696944,-151.379166,NIKISKI,KENAI PENINSULA BOROUGH,AK,99635,HOMER ELECTRIC ASSOC INC (100%),127,C
2023,BP Whiting Business Unit,1007339,2815 INDIANAPOLIS BLVD,41.6703,-87.4803,WHITING,Lake,IN,46394,BP AMERICA INC (100%),1432156,"C,D,DD,MM,P,Y"
2023,BUCKSPORT GENERATION LLC,1006174,30 Generation Lane,44.576944,-68.805556,BUCKSPORT,HANCOCK COUNTY,ME,4416,AIM Development USA LLC (100%),9334,"C,D"
2023,Bacliff Generating Station,1012447,5501 Highway 146,29.505222,-94.959361,Bacliff,GALVESTON,TX,77518,ROCKLAND CAPITAL LLC (100%),180017,D
2023,Baconton,1001409,2237 HATCHER HILL RD,31.3869,-84.0819,BACONTON,Mitchell,GA,31716,SOWEGA ENERGY RESOURCES LLC (65%); TEJAS POWER GENERATION LLC (35%),19931,"C,D"
2023,Baldwin Energy Complex,1007302,10901 BALDWIN RD,38.205,-89.855,BALDWIN,Randolph,IL,62217,Vistra Corp (100%),6075627,"C,D"
2023,Barney M. Davis,1000997,4301 Waldron Road,27.6067,-97.3119,Corpus Christi,Nueces,TX,78418,TALEN ENERGY CORP (100%),717549,"C,D"
2023,Barry,1001412,15300 Highway 43 North,31.0069,-88.0103,BUCKS,Mobile,AL,36512,THE SOUTHERN CO (100%),5007385,"C,D"
2023,Basin Creek Plant,1011063,500 Nils Drive,45.92942,-112.52462,Butte,SILVER BOW COUNTY,MT,59701,MILEPOST POWER INC (94.89%); BASIN CREEK POWER SERVICES LLC (5.11%),55610,C
2023,Bastrop Clean Energy Center,1007300,125 OLD BASTROP ROAD,30.1458,-97.55,CEDAR CREEK,Bastrop,TX,78612,BASTROP ENERGY PARTNERS LP (100%),1153440,D
2023,Batavia Energy,1007920,163 Cedar Street,42.9828,-78.1592,Batavia,GENESEE COUNTY,NY,14020,ALLIANCE ENERGY GROUP LLC (100%),3137,D
2023,Batesville Generation Facility,1010637,200 INDUSTRIAL DRIVE,34.33639,-89.92906,BATESVILLE,Panola,MS,38606,COOPERATIVE ENERGY A MISSISSIPPI ELECTRIC COOPERATIVE (100%),1980799,D
2023,Bay Front,1000978,122 N 14TH AVE W,46.5869,-90.9017,ASHLAND,Ashland,WI,54806,XCEL ENERGY INC (100%),14220,"C,D"
2023,Bay Shore,1007242,4701 BAY SHORE ROAD,41.6925,-83.4375,OREGON,Lucas,OH,43616,WALLEYE POWER LLC (100%),1219133,"C,D"
2023,Bayonne Energy Center,1000555,401 Hook Road,40.6529,-74.0916,Bayonne,Hudson,NJ,7002,BAYONNE ENERGY CENTER LLC (100%),396459,D
2023,"Bayonne Plant Holding, LLC",1001246,10 HOOK ROAD,40.6553,-74.1124,BAYONNE,Hudson,NJ,7002,IMTT-BAYONNE LLC (100%),34515,C
2023,Bayou Cove Peaking Power Plant,1007931,118 BERGEAUX ROAD,30.2825,-92.5994,JENNINGS,Acadia,LA,70546,CLECO CORPORATE HOLDINGS LLC (100%),105116,"C,D"
2023,Bayside Power Station,1001172,3602 PORT SUTTON ROAD,27.9072,-82.4231,TAMPA,Hillsborough,FL,33619,TECO ENERGY INC (100%),2364840,D
2023,Bayswater Peaking Facility,1000131,14-25 BAY 24TH ST,40.6106,-73.7614,FAR ROCKAWAY,Queens,NY,11691,MPH ROCKAWAY PEAKERS HOLDCO LLC (100%),75535,D
2023,Baytown Energy Center,1006983,8605 FM 1405,29.7731,-94.9019,BAYTOWN,Chambers,TX,77523,CPN MANAGEMENT LP (100%),2104515,"C,D"
2023,Bear Garden Generating Station,1000550,2608 C.G.Woodson Road,37.6961,-78.2848,New Canton,Buckingham,VA,23123,DOMINION ENERGY INC (100%),1146397,"C,D"
2023,Beatrice,1000284,20261 SW 61ST RD,40.3286,-96.8067,BEATRICE,Gage,NE,68310,NEBRASKA PUBLIC POWER DISTRICT (100%),279020,"C,D"
2023,Beaver,1002488,80997 KALLUNKI ROAD,46.172817,-123.17502,CLATSKANIE,COLUMBIA COUNTY,OR,97016,PORTLAND GENERAL ELECTRIC CO (100%),912292,C
2023,Beaver Dam Energy LLC,1012567,175 Groff Lane,41.6508891,-76.8028933,Canton,,PA,17724,BEAVER DAM ENERGY LLC (100%),30439,C
2023,Belews Creek,1001187,3195 PINE HALL ROAD,36.2811,-80.0603,BELEWS CREEK,Stokes,NC,27052,DUKE ENERGY CORP (100%),5584208,"C,D"
2023,Belle River,1001011,E CHINA TOWNSHIP,42.7748,-82.4945,SAINT CLAIR HAVEN,Saint Clair,MI,48054,DTE ENERGY CO (100%),5816276,"C,D"
2023,Bellingham,1001207,92 DEPOT ST,42.0925,-71.4833,BELLINGHAM,Norfolk,MA,2019,NEXTERA ENERGY INC (100%),47720,D
2023,Bellingham Power Generation LLC,1006864,155 MAPLE ST,42.1113,-71.4529,BELLINGHAM,Norfolk,MA,2019,Vistra Corp (100%),1217538,"C,D"
2023,Benndale Peaking Station,1014564,133 Clark Mizelle Road,30.8882219474443,-88.8052587177938,Benndale,,MS,39452,COOPERATIVE ENERGY A MISSISSIPPI ELECTRIC COOPERATIVE (100%),24809,C
2023,Bennett Mountain Power Project,1000244,2750 NE Industrial Way,43.147,-115.6671,Mountain Home,Elmore,ID,83647,IDACORP INC (100%),407421,"C,D"
2023,Bergen,1000742,VICTORIA TERRACE,40.8375,-74.0244,RIDGEFIELD,Bergen,NJ,7657,ARCLIGHT ENERGY PARTNERS FUND VII LP (100%),1111182,"C,D"
2023,Berkshire Power,1001298,36 MOYLAN LANE,42.0476,-72.6478,AGAWAM,Hampden,MA,1001,BERKSHIRE POWER CO (100%),27807,"C,D"
2023,Bethel Power Plant,1013951,1340 Kwethluk Lane,60.78796,-161.791099,Bethel,BETHEL CENSUS AREA,AK,99559,ALASKA VILLAGE ELECTRIC COOPERATIVE (100%),31288,C
2023,Bethlehem Energy Center (Albany),1000777,ROUTE 144 RIVER ROAD,42.5905,-73.7636,GLENMONT,Albany,NY,12077,ARCLIGHT ENERGY PARTNERS FUND VII LP (100%),2273112,"C,D"
2023,Bethlehem Power Plant,1000127,2254 APPLEBUTTER ROAD,40.6175,-75.3147,BETHLEHEM,Northampton,PA,18015,CPN MANAGEMENT LP (100%),2638013,D
2023,Bethpage Energy Center,1001238,939 SOUTH BROADWAY,40.7469,-73.4994,HICKSVILLE,Nassau,NY,11801,CPN MANAGEMENT LP (100%),315227,"C,D"
2023,Big Bend,1001492,13031 WYANDOTTE ROAD,27.7944,-82.4036,APOLLO BEACH,Hillsborough,FL,33572,TECO ENERGY INC (100%),3002504,D
2023,Big Cajun 1,1007930,7807 RIVER ROAD   HWY 415,30.6736,-91.3525,JARREAU,Pointe Coupee,LA,70749,CLECO CORPORATE HOLDINGS LLC (100%),188863,"C,D"
2023,Big Cajun 2,1001016,10431 CAJUN 2 ROAD   HWY 981,30.7261,-91.3669,NEW ROADS,Pointe Coupee,LA,70760,LOUISIANA GENERATING LLC (86%); ENTERGY CORP (14%),2106119,"C,D"
2023,Big Sandy,1001587,23000 HWY 23,38.1707,-82.6176,LOUISA,Lawrence,KY,41230,AMERICAN ELECTRIC POWER CO INC (100%),640818,"C,D"
2023,Big Sandy Peaker Plant,1007358,300 BIG SANDY RIVER ROAD,38.3441,-82.5938,KENOVA,Wayne,WV,25530,MIDDLE RIVER POWER LLC (100%),195598,D
2023,Big Stone,1001027,48450 144TH ST,45.3047,-96.5103,BIG STONE CITY,Grant,SD,57216,OTTER TAIL CORP (53.9%); NORTHWESTERN CORP (23.4%); MDU RESOURCES GROUP INC (22.7%),1919343,"C,D"
2023,Birdsboro Power Project,1013620,1 Armorcast Rd,40.26668,-75.7964,Birdsboro,BERKS COUNTY,PA,19508,AEIF BIRDSBORO LLC (33.33%); SOJITZ BIRDSBORO LLC (33.33%); TOKYO GAS AMERICA LTD (33.33%),1114143,D
2023,Black Dog,1000689,1400 BLACK DOG ROAD,44.8108,-93.2501,BURNSVILLE,Dakota,MN,55337,XCEL ENERGY INC (100%),824751,"C,D"
2023,Black Mountain Facility,1006869,,36.223139,-114.881032,LAS VEGAS,CLARK COUNTY,NV,89124,PANWEST NCA2 HOLDINGS LLC (100%),355807,C
2023,Black Mountain Generating Station,1000489,6625 S. Yuma Road,35.0361,-114.1594,Golden Valley,Mohave,AZ,86413,UNS ENERGY CORP (100%),54594,D
2023,Blackhawk Station,1005822,SPUR 119 N COGEN PLACE,35.6957,-101.36,BORGER,Hutchinson,TX,79007,GREAT POINT POWER LLC (100%),948825,D
2023,Blackstone Power Generation LLC,1006657,204 ELM ST,42.0575,-71.5172,BLACKSTONE,Worcester,MA,1504,Vistra Corp (100%),1080447,"C,D"
2023,Blaine Larsen Farms Generating Station,1014810,12295 County Road 11,36.079899997488,-102.876019022835,Dalhart,,TX,79022,Blaine Larsen Farms INC (100%),34070,C
2023,Blount Street,1000979,717 E MAIN ST,43.0792,-89.3739,MADISON,Dane,WI,53703,MGE ENERGY INC (100%),13003,"C,D"
2023,Blue Lake Generating Plant,1000424,1200 70TH ST,44.7855,-93.4315,SHAKOPEE,Scott,MN,55379,XCEL ENERGY INC (100%),48735,"C,D"
2023,Blue Spruce Energy Center,1000141,1751 N POWHATON RD,39.7436,-104.68,AURORA,Adams,CO,80019,XCEL ENERGY INC (100%),269797,"C,D"
2023,Blue Water Energy,1014676,4400 River Road,42.775839,-82.481747,East China Township,ST. CLAIR COUNTY,MI,48054,DTE ENERGY CO (100%),2786263,"C,D"
2023,Bluegrass Generating Station,1001341,3095 Commerce Parkway,38.3902,-85.4133,LA GRANGE,Oldham,KY,40031,EAST KENTUCKY POWER COOPERATIVE INC (100%),23398,"C,D"
2023,Bluffview Power Plant,1000463,755 MURRAY DRIVE,36.7164,-108.2153,FARMINGTON,San Juan,NM,87401,CITY OF FARMINGTON NEW MEXICO (100%),195224,D
2023,Blythe Energy,1001405,385 N. Buck Blvd.,33.6157,-114.6865,BLYTHE,Riverside,CA,92225,ALTAGAS SERVICES (US) INC (100%),674910,D
2023,Bobby C. Smith Jr. Energy Facility,1000811,3440 MCCALL ROAD,32.2792,-81.2842,RINCON,Effingham,GA,31326,OGLETHORPE POWER CORP (100%),998081,"C,D"
2023,Bonanza,1001149,12500 EAST 25500 SOUTH,40.0864,-109.2844,VERNAL,Uintah,UT,84078,DESERET GENERATION & TRANSMISSION COOPERATIVE (96.25%); UTAH MUNICIPAL POWER AGENCY (INC) (3.75%),3535787,"C,D"
2023,Bosque County Power Plant,1008020,577 Bosque County Road 3610,31.8594,-97.3586,Laguna Park,Bosque,TX,76644,CPN MANAGEMENT LP (100%),1835223,"C,D"
2023,Boswell Energy Center,1000687,1200 NW 3RD ST,47.2603,-93.6531,COHASSET,Itasca,MN,55721,ALLETE INC (90%); WPPI ENERGY (10%),5196646,"C,D"
2023,Boulder Park Generating Station,1010860,4424 N. Barker Road,47.696823,-117.154729,Spokane Valley,SPOKANE COUNTY,WA,99027,AVISTA CORP (100%),31456,C
2023,Bowen,1001505,317 COVERED BRIDGE ROAD SW,34.1256,-84.9192,CARTERSVILLE,Bartow,GA,30120,THE SOUTHERN CO (100%),10223193,"C,D"
2023,Bowline Generating Station LLC,1000780,140 SAMSONDALE AVE,41.2044,-73.9689,WEST HAVERSTRAW,Rockland,NY,10993,"BOWLINE GENERATING STATION, LLC (100%)",516750,"C,D"
2023,"Braes Bayou Generating, LLC",1014658,2929 Lockwood Road,29.4783,-95.6358,Richmond,Fort Bend,TX,77469,"WattBridge Texas, LLC (100%)",164061,D
2023,Brame Energy Center,1001041,275 RODEMACHER RD,31.395,-92.7167,LENA,Rapides,LA,71447,CLECO CORPORATE HOLDINGS LLC (76.16%); LOUISIANA ENERGY & POWER AUTHORITY (6.81%); LAFAYETTE PUBLIC POWER AUTHORITY (17.03%),3988173,D
2023,Brandon Shores LLC,1001481,2030 Brandon Shores RD,39.1792,-76.5383,Baltimore,Anne Arundel,MD,21226,TALEN ENERGY CORP (100%),1236592,"C,D"
2023,Brandy Branch,1001167,15701 W BEAVER ST,30.3206,-81.9486,BALDWIN,Duval,FL,32234,JACKSONVILLE ELECTRIC AUTHORITY (100%),1760425,"C,D"
2023,Brandywine Power Facility,1001288,16400 MATTAWOMAN DRIVE,38.6681,-76.8678,BRANDYWINE,Prince George'S,MD,20613,KMC THERMO LLC (100%),298669,"C,D"
2023,"Brazos Valley Energy, LP",1000798,3440 LOCKWOOD RD,29.4731,-95.6244,THOMPSONS,Fort Bend,TX,77481,CPN MANAGEMENT LP (100%),1315735,D
2023,Brentwood,1000114,PILGRIM STATE HOSPITAL/1650 ISLIP AVE,40.787,-73.2933,BRENTWOOD,Suffolk,NY,11717,NEW YORK POWER AUTHORITY (100%),20842,"C,D"
2023,Bridgeport Energy,1001299,10 ATLANTIC ST,41.1692,-73.1844,BRIDGEPORT,Fairfield,CT,6604,BRIDGEPORT ENERGY LLC (100%),1012876,D
2023,Bridgeport Harbor Station,1006949,2 ATLANTIC ST,41.1706,-73.1843,BRIDGEPORT,Fairfield,CT,6604,ARCLIGHT ENERGY PARTNERS FUND VII LP (100%),1067502,"C,D"
2023,Broad River Energy Center,1001343,1124 VICTORY TRAIL ROAD,35.0786,-81.575,GAFFNEY,Cherokee,SC,29340,SOUTHWEST GENERATION OPERATING CO LLC (100%),161540,"C,D"
2023,Brooklyn Navy Yard Cogeneration Project,1000870,"63 Flushing Avenue, Unit 234, Bldg 41",40.6994,-73.9758,Brooklyn,KINGS COUNTY,NY,11205,BROOKLYN NAVY YARD COGENERATION PARTNERS LP (100%),955561,D
2023,Brotman Power Station,1014902,1920 CR 52,29.36763465418,-95.442131151964,Rosharon,,TX,77583,"WattBridge Texas, LLC (100%)",133612,D
2023,Brownsville CT,1000739,948 BEECHGROVE RD,35.5438,-89.198,BROWNSVILLE,Haywood,TN,38012,US GOVERNMENT (%),105740,"C,D"
